class,precision,recall,f1-score,support
human,0.8331166016471608,0.9009375,0.8657007732152241,6400.0
machine,0.961789375582479,0.9675,0.9646362361738589,6400.0
hybrid,0.8904858615841275,0.8189655172413793,0.8532295486864756,6960.0
accuracy,0.8936234817813765,0.8936234817813765,0.8936234817813765,0.8936234817813765
macro avg,0.8951306129379225,0.8958010057471264,0.8945221860251862,19760.0
weighted avg,0.8949989803084626,0.8936234817813765,0.8933519493394736,19760.0
