task,accuracy,macro_f1,valid_rows,train_rows,best_epoch,max_length,lora_r,source
label,0.9921052631578947,0.9921845578411275,9880,88920,7,384,16,ckpt/label/metrics.json
family,0.87875,0.8796628509335995,3200,28800,19,384,16,ckpt/family/metrics.json
